studentId,admissionNumber,rollNumber,firstName,lastName,gender,dateOfBirth,age,class,section,bloodGroup,religion,nationality,fatherName,parentMobileNumber,completeAddress,city,province,postalCode,attendancePercentage,totalMarksObtained,maxPossibleMarks,percentage,grade,passFailStatus,feeStatus,username,createdAt,English,Urdu,Mathematics,General Knowledge,General Science,Social Studies,History_Geography,Computer Education,Physics,Chemistry,Biology,Computer Science,Islamiat,Ethics,Pakistan Studies
STD895339,ADM579747,4,Fatima,Mughal,Female,2014-05-12,12,Class 6,A,A-,Hinduism,Pakistani,Hamza Mughal,+923121905627,"House No. 3, Street 4, Clifton",Karachi,Sindh,74200,93%,425,700,60.71,B,Pass,Unpaid,fatima.mughal26,2026-07-16T19:29:03.942Z,59,52,76,NULL,77,NULL,62,50,NULL,NULL,NULL,NULL,NULL,49,NULL
STD734874,ADM517944,4,Ali,Qureshi,Male,2020-10-09,6,Class 1,A,B-,Islam,Pakistani,Omar Qureshi,+923455548354,"House No. 90, Street 11, Saddar",Rawalpindi,Punjab,46000,70%,312,500,62.4,B,Pass,Paid,ali.qureshi16,2026-07-16T19:29:03.938Z,68,70,60,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,NULL,NULL
STD020440,ADM382322,12,Muhammad,Ahmed,Male,2020-04-23,6,Class 1,B,B+,Christianity,Pakistani,Arsalan Ahmed,+923012377294,"House No. 458, Road 14, Johar Town",Lahore,Punjab,54000,77%,204,500,40.8,F,Fail,Paid,muhammad.ahmed98,2026-07-16T19:29:03.939Z,48,31,41,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL
STD240617,ADM698445,3,Mariam,Ahmed,Female,2017-04-07,9,Class 4,A,B-,Islam,Pakistani,Ahmed Ahmed,+923013452498,"House No. 444, Lane 5, Clifton",Karachi,Sindh,74200,83%,400,600,66.67,B,Pass,Paid,mariam.ahmed13,2026-07-16T19:29:03.941Z,74,65,74,NULL,77,60,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL,NULL
STD066119,ADM542875,7,Haris,Malik,Male,2020-10-11,6,Class 1,A,O+,Islam,Pakistani,Omar Malik,+923218147559,"House No. 174, Road 8, DHA Phase 5",Lahore,Punjab,54000,70%,361,500,72.2,A,Pass,Paid,haris.malik61,2026-07-16T19:29:03.939Z,77,74,77,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,67,NULL,NULL
STD665347,ADM576886,11,Khadija,Shah,Female,2020-01-28,6,Class 1,B,A+,Islam,Pakistani,Muhammad Shah,+923127652602,"House No. 195, Avenue 3, Sector F-10",Islamabad,Islamabad Capital Territory,44000,87%,320,500,64,B,Pass,Paid,khadija.shah67,2026-07-16T19:29:03.939Z,77,56,51,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,65,NULL,NULL
STD196444,ADM734754,24,Muhammad,Khan,Male,2019-11-03,7,Class 1,C,B+,Islam,Pakistani,Ahmed Khan,+923337780800,"House No. 199, Road 3, PECHS",Karachi,Sindh,74200,70%,197,500,39.4,F,Fail,Paid,muhammad.khan30,2026-07-16T19:29:03.939Z,47,32,36,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL
STD574879,ADM689148,11,Laiba,Ali,Female,2018-03-04,8,Class 3,B,O+,Islam,Pakistani,Usman Ali,+923127385096,"House No. 56, Street 5, Satellite Town",Rawalpindi,Punjab,46000,83%,304,500,60.8,B,Pass,Unpaid,laiba.ali13,2026-07-16T19:29:03.940Z,67,69,53,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,NULL,NULL
STD913379,ADM102025,17,Khadija,Shah,Female,2019-05-03,7,Class 2,B,B-,Islam,Pakistani,Fahad Shah,+923339902849,"House No. 312, Road 15, Sector I-8",Islamabad,Islamabad Capital Territory,44000,80%,339,500,67.8,B,Pass,Paid,khadija.shah76,2026-07-16T19:29:03.940Z,59,75,66,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75,NULL,NULL
STD856297,ADM319701,29,Laiba,Ali,Female,2019-11-06,7,Class 2,C,B+,Islam,Pakistani,Omar Ali,+923008734015,"House No. 79, Road 13, Saddar",Rawalpindi,Punjab,46000,77%,316,500,63.2,B,Pass,Paid,laiba.ali48,2026-07-16T19:29:03.940Z,63,78,70,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47,NULL,NULL
STD666977,ADM468625,2,Sana,Sheikh,Female,2018-09-25,8,Class 2,A,B+,Hinduism,Pakistani,Abdullah Sheikh,+923452424089,"House No. 326, Avenue 9, North Nazimabad",Karachi,Sindh,74200,82%,337,500,67.4,B,Pass,Paid,sana.sheikh17,2026-07-16T19:29:03.939Z,70,66,79,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,NULL
STD578121,ADM336111,24,Bilal,Khan,Male,2019-03-27,7,Class 2,C,O-,Islam,Pakistani,Muhammad Khan,+923216641356,"House No. 274, Avenue 12, Bani Gala",Islamabad,Islamabad Capital Territory,44000,66%,175,500,35,F,Fail,Paid,bilal.khan47,2026-07-16T19:29:03.940Z,30,39,31,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL,NULL
STD474593,ADM692349,28,Talha,Chaudhry,Male,2018-10-17,8,Class 2,C,O+,Hinduism,Pakistani,Usman Chaudhry,+923339083243,"House No. 83, Street 10, Gulshan-e-Iqbal",Karachi,Sindh,74200,71%,322,500,64.4,B,Pass,Unpaid,talha.chaudhry36,2026-07-16T19:29:03.940Z,77,74,65,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61,NULL
STD276923,ADM195503,3,Muhammad,Ali,Male,2018-11-02,8,Class 2,A,AB+,Hinduism,Pakistani,Abdullah Ali,+923001757885,"House No. 282, Street 8, Gulshan-e-Iqbal",Karachi,Sindh,74200,99%,129,500,25.8,F,Fail,Unpaid,muhammad.ali11,2026-07-16T19:29:03.939Z,23,19,27,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL
STD124160,ADM272888,13,Mariam,Chaudhry,Female,2020-05-16,6,Class 1,B,AB-,Islam,Pakistani,Muhammad Chaudhry,+923216103735,"House No. 198, Street 9, Defense (DHA)",Karachi,Sindh,74200,92%,325,500,65,B,Pass,Paid,mariam.chaudhry33,2026-07-16T19:29:03.939Z,72,49,61,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73,NULL,NULL
STD890851,ADM224062,20,Ayesha,Mughal,Female,2018-05-28,8,Class 2,B,O-,Islam,Pakistani,Bilal Mughal,+923028875304,"House No. 465, Street 9, Sector F-10",Islamabad,Islamabad Capital Territory,44000,95%,191,500,38.2,F,Fail,Paid,ayesha.mughal62,2026-07-16T19:29:03.940Z,38,42,45,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL
STD301037,ADM590745,1,Ayesha,Shah,Female,2018-11-01,8,Class 2,A,B+,Islam,Pakistani,Fahad Shah,+923029629933,"House No. 68, Street 10, Sector G-11",Islamabad,Islamabad Capital Territory,44000,68%,443,500,88.6,A+,Pass,Paid,ayesha.shah29,2026-07-16T19:29:03.939Z,82,96,88,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,NULL,NULL
STD351494,ADM927083,30,Ahmed,Ahmed,Male,2019-07-07,7,Class 1,C,O-,Christianity,Pakistani,Zain Ahmed,+923215477578,"House No. 317, Road 4, North Nazimabad",Karachi,Sindh,74200,81%,445,500,89,A+,Pass,Paid,ahmed.ahmed83,2026-07-16T19:29:03.939Z,88,93,82,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,NULL
STD327034,ADM652639,18,Zain,Shah,Male,2018-11-19,8,Class 3,B,AB-,Hinduism,Pakistani,Fahad Shah,+923004793676,"House No. 127, Avenue 8, Clifton",Karachi,Sindh,74200,97%,290,500,58,C,Pass,Unpaid,zain.shah67,2026-07-16T19:29:03.940Z,60,49,57,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,NULL
STD169858,ADM569589,6,Arsalan,Qureshi,Male,2018-12-17,8,Class 3,A,AB+,Islam,Pakistani,Ahmed Qureshi,+923459992219,"House No. 199, Lane 6, Gulberg",Lahore,Punjab,54000,91%,432,500,86.4,A+,Pass,Paid,arsalan.qureshi81,2026-07-16T19:29:03.940Z,88,82,86,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,NULL,NULL
STD352618,ADM782095,7,Fahad,Mughal,Male,2017-04-28,9,Class 3,A,A-,Islam,Pakistani,Talha Mughal,+923332106087,"House No. 476, Avenue 3, Bani Gala",Islamabad,Islamabad Capital Territory,44000,75%,275,500,55,C,Pass,Paid,fahad.mughal16,2026-07-16T19:29:03.940Z,64,47,52,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47,NULL,NULL
STD582942,ADM102525,19,Fahad,Khan,Male,2020-07-24,6,Class 1,B,O-,Hinduism,Pakistani,Talha Khan,+923124734346,"House No. 107, Street 9, Chaklala Scheme III",Rawalpindi,Punjab,46000,98%,344,500,68.8,B,Pass,Paid,fahad.khan15,2026-07-16T19:29:03.939Z,56,73,76,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75,NULL
STD981058,ADM171009,16,Fatima,Abbasi,Female,2020-02-01,6,Class 1,B,O-,Hinduism,Pakistani,Ali Abbasi,+923212792142,"House No. 231, Lane 1, Johar Town",Lahore,Punjab,54000,91%,177,500,35.4,F,Fail,Paid,fatima.abbasi37,2026-07-16T19:29:03.939Z,31,38,36,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL
STD386597,ADM614926,26,Talha,Ali,Male,2019-05-11,7,Class 2,C,O-,Islam,Pakistani,Arsalan Ali,+923023292167,"House No. 24, Avenue 1, PECHS",Karachi,Sindh,74200,89%,194,500,38.8,F,Fail,Paid,talha.ali85,2026-07-16T19:29:03.940Z,41,34,48,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL,NULL
STD406922,ADM392787,9,Ali,Ahmed,Male,2019-07-01,7,Class 2,A,O-,Islam,Pakistani,Fahad Ahmed,+923002907011,"House No. 471, Avenue 7, Bani Gala",Islamabad,Islamabad Capital Territory,44000,29%,0,500,0,N/A,Absent,Paid,ali.ahmed23,2026-07-16T19:29:03.940Z,A,A,A,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,NULL,NULL
STD190678,ADM699944,23,Fatima,Abbasi,Female,2017-03-10,9,Class 4,C,O-,Christianity,Pakistani,Zain Abbasi,+923456842886,"House No. 188, Street 1, PECHS",Karachi,Sindh,74200,71%,544,600,90.67,A+,Pass,Paid,fatima.abbasi16,2026-07-16T19:29:03.941Z,93,97,83,NULL,88,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,NULL
STD488846,ADM133540,24,Fatima,Khan,Female,2016-09-26,10,Class 4,C,A+,Hinduism,Pakistani,Ahmed Khan,+923451827834,"House No. 199, Lane 11, Samanabad",Lahore,Punjab,54000,85%,553,600,92.17,A+,Pass,Paid,fatima.khan40,2026-07-16T19:29:03.941Z,89,96,90,NULL,94,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93,NULL
STD959391,ADM085784,21,Anum,Qureshi,Female,2017-10-13,9,Class 3,C,AB-,Hinduism,Pakistani,Ahmed Qureshi,+923009097984,"House No. 241, Lane 11, Bani Gala",Islamabad,Islamabad Capital Territory,44000,24%,0,500,0,N/A,Absent,Paid,anum.qureshi79,2026-07-16T19:29:03.940Z,A,A,A,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,NULL
STD595288,ADM430512,27,Khadija,Abbasi,Female,2017-11-19,9,Class 4,C,O-,Christianity,Pakistani,Haris Abbasi,+923122512157,"House No. 439, Avenue 4, Sector F-10",Islamabad,Islamabad Capital Territory,44000,75%,353,600,58.83,C,Pass,Paid,khadija.abbasi69,2026-07-16T19:29:03.941Z,65,59,59,NULL,47,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49,NULL
STD184546,ADM859374,3,Ali,Sheikh,Male,2015-08-21,11,Class 6,A,O-,Hinduism,Pakistani,Bilal Sheikh,+923451155859,"House No. 350, Road 15, Defense (DHA)",Karachi,Sindh,74200,83%,462,700,66,B,Pass,Paid,ali.sheikh77,2026-07-16T19:29:03.942Z,51,58,72,NULL,67,NULL,70,67,NULL,NULL,NULL,NULL,NULL,77,NULL
STD055038,ADM650637,6,Mustafa,Shah,Male,2019-09-12,7,Class 2,A,AB-,Christianity,Pakistani,Bilal Shah,+923128832907,"House No. 383, Lane 8, Defense (DHA)",Karachi,Sindh,74200,97%,450,500,90,A+,Pass,Paid,mustafa.shah94,2026-07-16T19:29:03.940Z,97,83,85,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94,NULL
STD616666,ADM261502,5,Zain,Malik,Male,2013-08-23,13,Class 8,A,A-,Hinduism,Pakistani,Mustafa Malik,+923015284177,"House No. 349, Street 12, Sector G-11",Islamabad,Islamabad Capital Territory,44000,79%,651,700,93,A+,Pass,Paid,zain.malik82,2026-07-16T19:29:03.944Z,99,93,96,NULL,83,NULL,90,96,NULL,NULL,NULL,NULL,NULL,94,NULL
STD140929,ADM784996,13,Hira,Ali,Female,2018-09-09,8,Class 2,B,A-,Islam,Pakistani,Abdullah Ali,+923005306064,"House No. 391, Lane 3, Gulberg",Lahore,Punjab,54000,71%,314,500,62.8,B,Pass,Paid,hira.ali61,2026-07-16T19:29:03.940Z,72,56,76,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,NULL,NULL
STD616131,ADM540636,22,Khadija,Ahmed,Female,2016-10-04,10,Class 4,C,AB+,Islam,Pakistani,Haris Ahmed,+923451048215,"House No. 61, Avenue 13, Samanabad",Lahore,Punjab,54000,73%,422,600,70.33,A,Pass,Paid,khadija.ahmed22,2026-07-16T19:29:03.941Z,78,75,71,NULL,60,69,NULL,NULL,NULL,NULL,NULL,NULL,69,NULL,NULL
STD788601,ADM127155,10,Sidra,Abbasi,Female,2018-10-10,8,Class 2,A,AB-,Islam,Pakistani,Hamza Abbasi,+923006898014,"House No. 182, Street 8, Sector I-8",Islamabad,Islamabad Capital Territory,44000,68%,342,500,68.4,B,Pass,Unpaid,sidra.abbasi45,2026-07-16T19:29:03.940Z,71,69,76,67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,NULL,NULL
STD600937,ADM967030,17,Omar,Chaudhry,Male,2020-10-13,6,Class 1,B,B+,Islam,Pakistani,Fahad Chaudhry,+923008644065,"House No. 480, Road 5, Model Town",Lahore,Punjab,54000,69%,328,500,65.6,B,Pass,Paid,omar.chaudhry44,2026-07-16T19:29:03.939Z,58,52,71,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73,NULL,NULL
STD706947,ADM227160,5,Fatima,Qureshi,Female,2013-02-13,13,Class 7,A,AB+,Islam,Pakistani,Arsalan Qureshi,+923451886543,"House No. 65, Street 14, Bani Gala",Islamabad,Islamabad Capital Territory,44000,68%,633,700,90.43,A+,Pass,Paid,fatima.qureshi74,2026-07-16T19:29:03.942Z,81,99,84,NULL,90,NULL,93,92,NULL,NULL,NULL,NULL,94,NULL,NULL
STD843690,ADM712898,3,Saba,Malik,Female,2017-07-24,9,Class 3,A,B+,Islam,Pakistani,Muhammad Malik,+923218315626,"House No. 43, Lane 7, Defense (DHA)",Karachi,Sindh,74200,87%,333,500,66.6,B,Pass,Paid,saba.malik55,2026-07-16T19:29:03.940Z,66,70,72,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,NULL,NULL
STD841690,ADM400506,19,Sidra,Qureshi,Female,2016-04-14,10,Class 4,B,AB-,Hinduism,Pakistani,Talha Qureshi,+923015735890,"House No. 432, Lane 13, Satellite Town",Rawalpindi,Punjab,46000,66%,385,600,64.17,B,Pass,Paid,sidra.qureshi91,2026-07-16T19:29:03.941Z,55,73,78,NULL,73,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46,NULL
STD901444,ADM716043,7,Mariam,Qureshi,Female,2016-10-03,10,Class 4,A,A-,Hinduism,Pakistani,Muhammad Qureshi,+923216086929,"House No. 97, Lane 14, Clifton",Karachi,Sindh,74200,85%,345,600,57.5,C,Pass,Paid,mariam.qureshi85,2026-07-16T19:29:03.941Z,46,74,52,NULL,51,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75,NULL
STD838254,ADM735732,24,Sana,Ahmed,Female,2015-07-06,11,Class 6,C,B+,Islam,Pakistani,Omar Ahmed,+923002879336,"House No. 386, Road 4, Sector G-11",Islamabad,Islamabad Capital Territory,44000,100%,466,700,66.57,B,Pass,Paid,sana.ahmed18,2026-07-16T19:29:03.942Z,57,49,64,NULL,63,NULL,79,78,NULL,NULL,NULL,NULL,76,NULL,NULL
STD713427,ADM941857,17,Ayesha,Ali,Female,2014-04-19,12,Class 7,B,AB-,Islam,Pakistani,Usman Ali,+923005501574,"House No. 363, Avenue 8, Samanabad",Lahore,Punjab,54000,71%,632,700,90.29,A+,Pass,Paid,ayesha.ali55,2026-07-16T19:29:03.942Z,99,92,88,NULL,88,NULL,84,90,NULL,NULL,NULL,NULL,91,NULL,NULL
STD864751,ADM416819,29,Omar,Ali,Male,2017-05-20,9,Class 3,C,AB-,Islam,Pakistani,Ahmed Ali,+923452528902,"House No. 277, Road 6, Model Town",Lahore,Punjab,54000,82%,198,500,39.6,F,Fail,Unpaid,omar.ali51,2026-07-16T19:29:03.941Z,43,37,32,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38,NULL,NULL
STD812680,ADM054931,14,Saad,Ahmed,Male,2019-08-09,7,Class 1,B,AB+,Christianity,Pakistani,Ahmed Ahmed,+923005517294,"House No. 388, Avenue 12, Gulshan-e-Iqbal",Karachi,Sindh,74200,68%,443,500,88.6,A+,Pass,Paid,saad.ahmed71,2026-07-16T19:29:03.939Z,100,89,82,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,NULL
STD722584,ADM740500,16,Saba,Mughal,Female,2013-04-18,13,Class 8,B,B-,Islam,Pakistani,Arsalan Mughal,+923018705693,"House No. 142, Road 4, PECHS",Karachi,Sindh,74200,71%,396,700,56.57,C,Pass,Paid,saba.mughal33,2026-07-16T19:29:03.944Z,49,50,52,NULL,58,NULL,49,78,NULL,NULL,NULL,NULL,60,NULL,NULL
STD806853,ADM814605,24,Hira,Shah,Female,2016-05-08,10,Class 5,C,A+,Islam,Pakistani,Haris Shah,+923001663274,"House No. 410, Lane 6, Gulberg",Lahore,Punjab,54000,71%,227,600,37.83,F,Fail,Paid,hira.shah47,2026-07-16T19:29:03.941Z,41,31,35,NULL,48,34,NULL,NULL,NULL,NULL,NULL,NULL,38,NULL,NULL
STD349597,ADM991009,14,Fahad,Khan,Male,2013-12-28,13,Class 7,B,O+,Islam,Pakistani,Fahad Khan,+923337113632,"House No. 181, Street 5, Chaklala Scheme III",Rawalpindi,Punjab,46000,84%,465,700,66.43,B,Pass,Paid,fahad.khan16,2026-07-16T19:29:03.942Z,73,76,55,NULL,64,NULL,54,70,NULL,NULL,NULL,NULL,73,NULL,NULL
STD990721,ADM397585,1,Mahnoor,Ali,Female,2017-04-28,9,Class 4,A,O+,Hinduism,Pakistani,Muhammad Ali,+923213541568,"House No. 161, Lane 9, Clifton",Karachi,Sindh,74200,95%,412,600,68.67,B,Pass,Paid,mahnoor.ali99,2026-07-16T19:29:03.941Z,74,71,78,NULL,61,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,NULL
STD433824,ADM831224,8,Fahad,Ali,Male,2017-09-28,9,Class 4,A,O+,Islam,Pakistani,Zain Ali,+923211368485,"House No. 293, Avenue 15, Saddar",Rawalpindi,Punjab,46000,66%,356,600,59.33,C,Pass,Paid,fahad.ali14,2026-07-16T19:29:03.941Z,59,49,65,NULL,48,66,NULL,NULL,NULL,NULL,NULL,NULL,69,NULL,NULL
STD138591,ADM679400,5,Khadija,Malik,Female,2017-02-09,9,Class 4,A,A-,Islam,Pakistani,Mustafa Malik,+923004905937,"House No. 434, Lane 11, Clifton",Karachi,Sindh,74200,96%,405,600,67.5,B,Pass,Paid,khadija.malik71,2026-07-16T19:29:03.941Z,72,58,75,NULL,52,71,NULL,NULL,NULL,NULL,NULL,NULL,77,NULL,NULL
STD616666,ADM261502,5,Zain,Malik,Male,2013-08-23,13,Class 8,A,A-,Hinduism,Pakistani,Mustafa Malik,+923015792428,"House No. 349, Street 12, Sector G-11",Islamabad,Islamabad Capital Territory,44000,79%,651,700,93,A+,Pass,Unpaid,zain.malik82,2026-07-16T19:29:03.944Z,99,93,96,NULL,83,NULL,90,96,NULL,NULL,NULL,NULL,NULL,94,NULL
STD720338,ADM355633,21,Saad,Abbasi,Male,2020-04-20,6,Class 1,C,B+,Christianity,Pakistani,Talha Abbasi,+923009213325,"House No. 497, Avenue 10, Bani Gala",Islamabad,Islamabad Capital Territory,44000,99%,288,500,57.6,C,Pass,Paid,saad.abbasi86,2026-07-16T19:29:03.939Z,68,47,63,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,NULL
STD039664,ADM261146,6,Arsalan,Qureshi,Male,2012-06-20,14,Class 8,A,A+,Hinduism,Pakistani,Saad Qureshi,+923459339990,"House No. 201, Lane 12, Bani Gala",Islamabad,Islamabad Capital Territory,44000,65%,657,700,93.86,A+,Pass,Unpaid,arsalan.qureshi12,2026-07-16T19:29:03.944Z,97,81,98,NULL,100,NULL,86,95,NULL,NULL,NULL,NULL,NULL,100,NULL
STD798803,ADM972964,24,Ahmed,Sheikh,Male,2013-04-18,13,Class 7,C,A-,Islam,Pakistani,Haris Sheikh,+923452705248,"House No. 439, Street 14, Sector F-10",Islamabad,Islamabad Capital Territory,44000,91%,461,700,65.86,B,Pass,Paid,ahmed.sheikh39,2026-07-16T19:29:03.944Z,62,71,70,NULL,56,NULL,75,78,NULL,NULL,NULL,NULL,49,NULL,NULL
STD361512,ADM745789,6,Bilal,Sheikh,Male,2019-10-18,7,Class 1,A,AB+,Christianity,Pakistani,Haris Sheikh,+923452181451,"House No. 417, Street 2, Saddar",Rawalpindi,Punjab,46000,66%,121,500,24.2,F,Fail,Paid,bilal.sheikh44,2026-07-16T19:29:03.939Z,16,32,27,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,NULL
STD047985,ADM243652,30,Omar,Mughal,Male,2015-06-16,11,Class 6,C,A+,Islam,Pakistani,Talha Mughal,+923029201350,"House No. 157, Road 10, Satellite Town",Rawalpindi,Punjab,46000,98%,442,700,63.14,B,Pass,Paid,omar.mughal46,2026-07-16T19:29:03.942Z,77,55,67,NULL,58,NULL,71,47,NULL,NULL,NULL,NULL,67,NULL,NULL
