"studentId","admissionNumber","rollNumber","firstName","lastName","gender","dateOfBirth","age","class","section","bloodGroup","religion","nationality","fatherName","motherName","guardianName","parentMobileNumber","parentEmail","completeAddress","city","province","postalCode","admissionDate","attendancePercentage","subjectWiseMarks.English","subjectWiseMarks.Urdu","subjectWiseMarks.Mathematics","subjectWiseMarks.General Knowledge","subjectWiseMarks.General Science","subjectWiseMarks.Social Studies","subjectWiseMarks.History_Geography","subjectWiseMarks.Computer Education","subjectWiseMarks.Physics","subjectWiseMarks.Chemistry","subjectWiseMarks.Biology","subjectWiseMarks.Computer Science","subjectWiseMarks.Pakistan Studies","subjectWiseMarks.Islamiat","subjectWiseMarks.Ethics","totalMarksObtained","maxPossibleMarks","percentage","grade","passFailStatus","feeStatus","transport","hostel","medicalNotes","username","password","createdAt","updatedAt"
"STD760576","ADM310553",13,"Saba","Ahmed","Female","2019-01-28", 7,"Class 1","B","O+","Hinduism","Pakistani","Fahad Ahmed","Sumaira Ahmed","Fahad Ahmed","+923014851993","fahadahmed32@gmail.com","House No. 114, Street 3, Saddar","Hyderabad","Sindh","71000","2026-04-05","77%",90,84,76,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,329,500,65.80,"B","Pass","Unpaid","Self","No","Allergic to peanuts.","saba.ahmed","jPjd#Kis4Z","2026-07-16T19:18:36.284Z","2026-07-16T19:18:36.284Z"
"STD660894","ADM782059",14,"Hussain","Yousafzai","Male","2020-03-23", 6,"Class 1","B","A-","Islam","Pakistani","Junaid Yousafzai","Khadija Yousafzai","Junaid Yousafzai","+923021617436","junaidyousafzai78@gmail.com","House No. 136, Avenue 8, Batala Colony","Faisalabad","Punjab","38000","2026-04-05","97%",100,66,94,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,413,500,82.60,"A+","Pass","Paid","Self","No","Wears corrective lenses/glasses.","hussain.yousafzai","s$TtnjkKn5","2026-07-16T19:18:36.284Z","2026-07-16T19:18:36.284Z"
"STD335026","ADM993026",15,"Zain","Chaudhry","Male","2020-07-23", 6,"Class 1","B","AB-","Hinduism","Pakistani","Daniyal Chaudhry","Alisha Chaudhry","Daniyal Chaudhry","+923454162898","daniyalchaudhry17@gmail.com","House No. 86, Street 3, North Nazimabad","Karachi","Sindh","74200","2026-04-05","82%",57,51,100,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,334,500,66.80,"B","Pass","Paid","Self","No","Allergic to peanuts.","zain.chaudhry","Fa5hWGQkDS","2026-07-16T19:18:36.284Z","2026-07-16T19:18:36.284Z"
"STD772041","ADM894979",16,"Yasir","Malik","Male","2019-12-28", 7,"Class 1","B","B-","Islam","Pakistani","Hassan Malik","Ayesha Malik","Hassan Malik","+923001699839","hassanmalik72@gmail.com","House No. 460, Road 15, Peshawar Cantt","Peshawar","Khyber Pakhtunkhwa","25000","2026-04-05","78%",45,81,50,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,305,500,61.00,"B","Pass","Paid","School Van","No","No known medical conditions or allergies.","yasir.malik","W8DkDuLiQk","2026-07-16T19:18:36.284Z","2026-07-16T19:18:36.284Z"
"STD898714","ADM374902",17,"Fatima","Hashmi","Female","2020-04-16", 6,"Class 1","B","B-","Islam","Pakistani","Saad Hashmi","Amna Hashmi","Saad Hashmi","+923452488764","saadhashmi90@gmail.com","House No. 58, Lane 8, Samungli Road","Quetta","Balochistan","87300","2026-04-05","88%",67,62,71,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,343,500,68.60,"B","Pass","Paid","School Van","No","No medical conditions.","fatima.hashmi","Zs2WUyRMWn","2026-07-16T19:18:36.284Z","2026-07-16T19:18:36.284Z"
"STD476996","ADM306697",18,"Zain","Zaidi","Male","2019-12-02", 7,"Class 1","B","A+","Christianity","Pakistani","Raza Zaidi","Bushra Zaidi","Raza Zaidi","+923454345709","razazaidi65@gmail.com","House No. 68, Sector-Street 15, Madina Town","Faisalabad","Punjab","38000","2026-04-05","86%",45,67,83,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,355,500,71.00,"A","Pass","Paid","Self","No","No known medical conditions or allergies.","zain.zaidi","TMkQE0gDr7","2026-07-16T19:18:36.284Z","2026-07-16T19:18:36.284Z"
"STD514002","ADM438967",19,"Waqas","Farooqi","Male","2020-10-06", 6,"Class 1","B","O+","Christianity","Pakistani","Faisal Farooqi","Tayyaba Farooqi","Faisal Farooqi","+923337240823","faisalfarooqi98@gmail.com","House No. 347, Sector-Street 7, Ring Road","Peshawar","Khyber Pakhtunkhwa","25000","2026-04-05","69%",74,44,75,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,334,500,66.80,"B","Pass","Unpaid","Self","No","Mild seasonal asthma; carries inhaler.","waqas.farooqi","cN!fp5JJhN","2026-07-16T19:18:36.284Z","2026-07-16T19:18:36.284Z"
"STD682168","ADM673057",20,"Kiran","Abbasi","Female","2020-08-17", 6,"Class 1","B","A+","Christianity","Pakistani","Daniyal Abbasi","Saba Abbasi","Daniyal Abbasi","+923025671288","daniyalabbasi13@gmail.com","House No. 150, Avenue 6, People's Colony","Faisalabad","Punjab","38000","2026-04-05","99%",74,37,100,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,315,500,63.00,"B","Pass","Paid","Self","No","No medical conditions.","kiran.abbasi","b$G8KMA6KW","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD358743","ADM856358",21,"Omar","Hashmi","Male","2020-10-21", 6,"Class 1","C","O-","Islam","Pakistani","Asad Hashmi","Fatima Hashmi","Asad Hashmi","+923459900159","asadhashmi79@gmail.com","House No. 282, Road 5, Shah Rukn-e-Alam","Multan","Punjab","60000","2026-04-05","71%",76,75,64,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,312,500,62.40,"B","Pass","Paid","Self","No","Mild seasonal asthma; carries inhaler.","omar.hashmi","CWaS$vGvrI","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD446475","ADM235078",22,"Kiran","Siddiqui","Female","2020-05-25", 6,"Class 1","C","AB+","Islam","Pakistani","Muhammad Siddiqui","Javerya Siddiqui","Asad Siddiqui","+923334311396","muhammadsiddiqui16@gmail.com","House No. 255, Street 10, Model Town","Lahore","Punjab","54000","2026-04-05","76%",87,75,74,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,383,500,76.60,"A","Pass","Unpaid","Self","No","No medical conditions.","kiran.siddiqui","uYAXdqLN@h","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD107587","ADM792986",23,"Hussain","Naqvi","Male","2019-08-09", 7,"Class 1","C","B-","Islam","Pakistani","Hassan Naqvi","Areeba Naqvi","Hassan Naqvi","+923337256230","hassannaqvi82@gmail.com","House No. 284, Sector-Street 12, Sector I-8","Islamabad","Islamabad Capital Territory","44000","2026-04-05","71%",58,82,81,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,346,500,69.20,"B","Pass","Paid","Self","No","Mild dust allergy.","hussain.naqvi","PBP$DEnwqj","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD585038","ADM146671",24,"Ali","Butt","Male","2020-07-23", 6,"Class 1","C","AB+","Islam","Pakistani","Haris Butt","Sadia Butt","Haris Butt","+923011197059","harisbutt79@gmail.com","House No. 453, Lane 4, Shah Rukn-e-Alam","Multan","Punjab","60000","2026-04-05","70%",50,51,55,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,247,500,49.40,"D","Pass","Unpaid","School Van","No","Allergic to peanuts.","ali.butt","Fz4!Z8DJf3","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD588985","ADM381352",25,"Omar","Naqvi","Male","2020-11-04", 6,"Class 1","C","A+","Islam","Pakistani","Fahad Naqvi","Sumaira Naqvi","Fahad Naqvi","+923457139254","fahadnaqvi55@gmail.com","House No. 37, Street 5, DHA Phase 5","Lahore","Punjab","54000","2026-04-05","93%",43,42,60,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,279,500,55.80,"C","Pass","Paid","School Van","No","Mild seasonal asthma; carries inhaler.","omar.naqvi","zwaSgM!c7v","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD309187","ADM904322",26,"Bushra","Khan","Female","2020-01-22", 6,"Class 1","C","O-","Christianity","Pakistani","Hassan Khan","Sadia Khan","Hassan Khan","+923458622802","hassankhan28@gmail.com","House No. 229, Street 15, Peshawar Cantt","Peshawar","Khyber Pakhtunkhwa","25000","2026-04-05","80%",99,39,99,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,407,500,81.40,"A+","Pass","Unpaid","Self","No","Allergic to peanuts.","bushra.khan","i4o@MMSPnn","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD811604","ADM322887",27,"Rimsha","Shah","Female","2020-11-09", 6,"Class 1","C","AB+","Islam","Pakistani","Talha Shah","Amna Shah","Talha Shah","+923013702119","talhashah22@gmail.com","House No. 340, Sector-Street 10, Samanabad","Faisalabad","Punjab","38000","2026-04-05","69%",97,34,80,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,363,500,72.60,"A","Pass","Paid","Self","No","Wears corrective lenses/glasses.","rimsha.shah","sgOU#HpUw7","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD104797","ADM539819",28,"Ahmed","Malik","Male","2020-11-27", 6,"Class 1","C","B-","Hinduism","Pakistani","Ali Malik","Sana Malik","Ali Malik","+923015998858","alimalik88@gmail.com","House No. 14, Sector-Street 14, PECHS","Karachi","Sindh","74200","2026-04-05","78%",59,84,40,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,349,500,69.80,"B","Pass","Unpaid","Self","No","Allergic to penicillin.","ahmed.malik","WFGZoDgWmO","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD485587","ADM613012",29,"Saad","Zaidi","Male","2019-10-03", 7,"Class 1","C","O-","Islam","Pakistani","Zeeshan Zaidi","Sidra Zaidi","Zain Zaidi","+923216750883","zeeshanzaidi46@gmail.com","House No. 234, Sector-Street 1, Iqbal Town","Lahore","Punjab","54000","2026-04-05","65%",82,55,88,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,347,500,69.40,"B","Pass","Paid","School Van","No","Allergic to penicillin.","saad.zaidi","4DoQ3SbYmm","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD645096","ADM997220",30,"Sadia","Ahmed","Female","2020-03-11", 6,"Class 1","C","A-","Christianity","Pakistani","Daniyal Ahmed","Sana Ahmed","Daniyal Ahmed","+923458238328","daniyalahmed63@gmail.com","House No. 31, Sector-Street 13, Iqbal Town","Lahore","Punjab","54000","2026-04-05","61%",53,49,55,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,333,500,66.60,"B","Pass","Paid","School Van","No","Allergic to peanuts.","sadia.ahmed","w#Cl!Izgky","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD917990","ADM230779", 1,"Rimsha","Ali","Female","2019-11-01", 7,"Class 2","A","AB+","Christianity","Pakistani","Kamran Ali","Ushna Ali","Kamran Ali","+923331769819","kamranali95@gmail.com","House No. 54, Road 15, Model Town","Lahore","Punjab","54000","2025-04-05","92%",88,73,35,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,280,500,56.00,"C","Pass","Paid","School Van","No","No medical conditions.","rimsha.ali","Vb#C0cm#nw","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD514780","ADM084739", 2,"Kamran","Farooqi","Male","2018-07-25", 8,"Class 2","A","B-","Islam","Pakistani","Ahmed Farooqi","Mahnoor Farooqi","Ahmed Farooqi","+923455170022","ahmedfarooqi20@gmail.com","House No. 409, Street 2, Samanabad","Lahore","Punjab","54000","2025-04-05","71%",96,82,58,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,393,500,78.60,"A","Pass","Unpaid","Self","No","Wears corrective lenses/glasses.","kamran.farooqi","VajgPfoypJ","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD692576","ADM698131", 3,"Hamza","Yousafzai","Male","2019-07-14", 7,"Class 2","A","B-","Christianity","Pakistani","Bilal Yousafzai","Fiza Yousafzai","Bilal Yousafzai","+923011519786","bilalyousafzai33@gmail.com","House No. 219, Avenue 15, Hayatabad Phase 1","Peshawar","Khyber Pakhtunkhwa","25000","2025-04-05","62%",59,39,39,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,260,500,52.00,"C","Pass","Paid","Self","No","No medical conditions.","hamza.yousafzai","Wr29LP#k@X","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD617723","ADM617462", 4,"Saba","Ansari","Female","2018-09-13", 8,"Class 2","A","O+","Islam","Pakistani","Aamir Ansari","Sana Ansari","Aamir Ansari","+923211608787","aamiransari76@gmail.com","House No. 299, Street 12, Satellite Town","Rawalpindi","Punjab","46000","2025-04-05","91%",81,47,44,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,296,500,59.20,"C","Pass","Paid","School Van","No","No medical conditions.","saba.ansari","DvLJR9BNUZ","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD501163","ADM545933", 5,"Abdullah","Khan","Male","2019-10-22", 7,"Class 2","A","O+","Islam","Pakistani","Bilal Khan","Nida Khan","Bilal Khan","+923454074983","bilalkhan14@gmail.com","House No. 434, Lane 10, Iqbal Town","Lahore","Punjab","54000","2025-04-05","81%",88,91,88,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,387,500,77.40,"A","Pass","Paid","Self","No","Wears corrective lenses/glasses.","abdullah.khan","$lF0FgP0qc","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD871303","ADM243990", 6,"Saad","Chaudhry","Male","2018-01-11", 8,"Class 2","A","AB-","Hinduism","Pakistani","Usman Chaudhry","Mehak Chaudhry","Usman Chaudhry","+923215711806","usmanchaudhry82@gmail.com","House No. 260, Street 10, Bahria Town","Rawalpindi","Punjab","46000","2025-04-05","98%",55,73,67,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,295,500,59.00,"C","Pass","Unpaid","Self","No","No known medical conditions or allergies.","saad.chaudhry","SjPuvBZCp4","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD499538","ADM769132", 7,"Mahnoor","Qureshi","Female","2019-07-03", 7,"Class 2","A","O-","Christianity","Pakistani","Omar Qureshi","Areeba Qureshi","Omar Qureshi","+923026206415","omarqureshi95@gmail.com","House No. 91, Road 9, Batala Colony","Faisalabad","Punjab","38000","2025-04-05","85%",96,51,94,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,383,500,76.60,"A","Pass","Unpaid","Self","No","Mild dust allergy.","mahnoor.qureshi","GzIBRTbOnW","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD958089","ADM349894", 8,"Tayyaba","Butt","Female","2018-08-28", 8,"Class 2","A","A-","Islam","Pakistani","Bilal Butt","Sumaira Butt","Bilal Butt","+923339225855","bilalbutt64@gmail.com","House No. 49, Avenue 15, Hayatabad Phase 1","Peshawar","Khyber Pakhtunkhwa","25000","2025-04-05","63%",80,72,88,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,NA,379,500,75.80,"A","Pass","Paid","Self","No","Mild dust allergy.","tayyaba.butt","W2$$7agqD2","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD469330","ADM525768", 9,"Nida","Abbasi","Female","2018-07-02", 8,"Class 2","A","AB+","Islam","Pakistani","Waqas Abbasi","Mahnoor Abbasi","Waqas Abbasi","+923338925248","waqasabbasi77@gmail.com","House No. 161, Street 6, Sector I-8","Islamabad","Islamabad Capital Territory","44000","2025-04-05","74%",66,37,61,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,287,500,57.40,"C","Pass","Paid","Self","No","Mild seasonal asthma; carries inhaler.","nida.abbasi","vyeE8F26KW","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD769700","ADM620284",10,"Laiba","Farooqi","Female","2019-11-03", 7,"Class 2","A","O-","Islam","Pakistani","Usman Farooqi","Fatima Farooqi","Hamza Farooqi","+923121175247","usmanfarooqi88@gmail.com","House No. 421, Lane 2, Boson Road","Multan","Punjab","60000","2025-04-05","99%",58,95,96,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,350,500,70.00,"A","Pass","Paid","Self","Yes","Wears corrective lenses/glasses.","laiba.farooqi","Rv72m97ukm","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD642370","ADM983161",11,"Areeba","Chaudhry","Female","2019-08-20", 7,"Class 2","B","B+","Islam","Pakistani","Bilal Chaudhry","Javerya Chaudhry","Yasir Chaudhry","+923212693310","bilalchaudhry82@gmail.com","House No. 131, Lane 6, Citizen Colony","Hyderabad","Sindh","71000","2025-04-05","61%",74,72,45,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,319,500,63.80,"B","Pass","Paid","Self","No","Mild seasonal asthma; carries inhaler.","areeba.chaudhry","V0E!IRKvnX","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD051015","ADM963113",12,"Sadia","Siddiqui","Female","2018-04-12", 8,"Class 2","B","B-","Christianity","Pakistani","Arsalan Siddiqui","Sara Siddiqui","Arsalan Siddiqui","+923332814362","arsalansiddiqui57@gmail.com","House No. 308, Road 11, Bani Gala","Islamabad","Islamabad Capital Territory","44000","2025-04-05","95%",33,70,43,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,268,500,53.60,"C","Pass","Paid","School Van","No","Mild dust allergy.","sadia.siddiqui","9fnpk4ro6B","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD778678","ADM520403",13,"Bilal","Abbasi","Male","2018-07-02", 8,"Class 2","B","O+","Islam","Pakistani","Zain Abbasi","Tayyaba Abbasi","Zain Abbasi","+923012266637","zainabbasi64@gmail.com","House No. 2, Sector-Street 4, Batala Colony","Faisalabad","Punjab","38000","2025-04-05","74%",57,40,72,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,259,500,51.80,"C","Pass","Unpaid","Self","No","Wears corrective lenses/glasses.","bilal.abbasi","I3uJsXFRQF","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD955091","ADM386529",14,"Areeba","Chaudhry","Female","2019-06-16", 7,"Class 2","B","A+","Islam","Pakistani","Asad Chaudhry","Fatima Chaudhry","Asad Chaudhry","+923011387308","asadchaudhry77@gmail.com","House No. 370, Road 2, Sector I-8","Islamabad","Islamabad Capital Territory","44000","2025-04-05","82%",36,97,81,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,374,500,74.80,"A","Pass","Paid","School Van","No","Allergic to penicillin.","areeba.chaudhry313","hHuo5OGlvS","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
"STD972087","ADM272926",15,"Kiran","Qureshi","Female","2018-06-27", 8,"Class 2","B","O+","Christianity","Pakistani","Abdullah Qureshi","Sadia Qureshi","Abdullah Qureshi","+923212989899","abdullahqureshi64@gmail.com","House No. 8, Avenue 10, Bahria Town","Rawalpindi","Punjab","46000","2025-04-05","76%",76,93,64,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,387,500,77.40,"A","Pass","Paid","School Van","No","No known medical conditions or allergies.","kiran.qureshi","tPTZksW4Mi","2026-07-16T19:18:36.285Z","2026-07-16T19:18:36.285Z"
